DOF         Degrees of freedom
PAN         Panning
TILT        Tilting
VR          Virtual Reality
API         Application Programming Interface
SoC         System on Chip
RAM         Random Access memory
ARM         Advanced RISC Machine
HAL         Hardware Abstraction Layer
PWM         Pulse width modulation
GPIO        General-Purpose Input/Output
MCC         Módulo de Controle de Câmera
MCM         Módulo de Captura de Movimento
IP          Internet Protocol
PSU         Power Supply Unit
ATX         Advanced Technology eXtended
PWM         Pulse-Width Modulation
VLC         VideoLAN Client
TCP         Transmission Control Protocol
RTP         Real Time Protocol
